Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,"Cats, cats, doggos, and more cats",2
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,Getting the news from places I care about,8
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,None of the above,29
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,Staying connected with people I care about,48
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Average User:  I know enough to get by.,User,Watching all the drama,2
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,Luddite:  Technology scares me! I only use it when I have to.,User,Staying connected with people I care about,4
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,None of the above,4
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"Cats, cats, doggos, and more cats",3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,2
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,23
